user_idx,item_idx
24094,52
5762,52
9623,52
21006,52
19606,52
20654,52
33235,467
6836,467
25335,467
23895,467
9750,467
34625,467
9750,467
9750,467
34462,467
35804,467
15146,467
8547,467
27381,467
26424,467
24650,467
37217,467
23263,467
28798,467
30072,467
21520,467
36374,467
7848,467
8260,467
23872,467
33622,467
33280,467
30235,467
21294,467
24657,467
10424,467
29094,467
21140,467
22118,467
6475,467
14333,467
22765,467
3227,467
4929,467
15326,467
2436,467
16989,467
19576,467
2259,467
5733,467
29624,467
36436,467
18442,467
9196,467
23054,467
5850,467
36848,467
28416,467
13519,467
33559,467
18469,467
35720,467
19473,467
28549,467
35971,467
27891,467
9263,467
6398,467
37187,467
5690,467
5690,467
5690,467
5690,467
20247,467
20247,467
34735,467
23468,467
21451,164
7256,164
19822,164
33228,164
14998,164
5818,164
6309,164
22347,164
19782,164
33266,164
34520,164
10527,164
6229,164
22471,164
19822,164
30837,164
6340,164
14083,164
14283,164
29741,164
1691,164
22266,164
9972,164
2980,164
27743,164
23563,164
29088,164
26519,164
19822,164
32433,164
22220,164
23698,164
23125,164
22666,164
25133,164
32433,164
22694,164
13302,164
21778,164
19291,164
5846,164
30454,164
27819,164
17211,164
17506,164
7925,164
16958,164
34418,164
11935,164
8411,164
12677,164
3464,164
18717,164
18717,164
1513,309
33710,309
26740,309
36289,309
9159,309
8070,309
34941,309
733,309
23490,309
36663,309
32220,309
32158,309
3168,309
26610,309
13023,309
7024,309
13143,309
36345,309
11862,309
5714,309
35556,309
36714,309
6943,309
5671,309
2583,309
10307,309
34792,309
21234,309
5604,309
15417,309
36835,309
27169,309
12125,309
9722,309
26161,309
33286,309
21468,309
35186,309
910,309
32924,309
31504,309
18477,309
10893,309
31199,309
3557,309
18915,309
4631,309
15188,309
3069,309
13154,309
11493,309
11615,309
12561,309
31504,309
5280,309
18403,309
17453,309
33073,309
30292,309
10003,309
9002,309
11647,309
27067,309
25782,309
32414,309
1673,309
17400,309
14204,309
4005,309
36219,309
36548,309
36548,309
36219,309
144,309
12000,309
15499,309
17240,309
6497,309
14261,309
11342,660
24461,660
37187,660
23124,660
34906,660
35046,660
8702,660
19020,660
8045,660
1561,660
33480,660
526,660
7446,660
6688,660
2152,660
15419,660
10606,660
7731,660
15096,660
13133,660
3803,660
13891,660
6395,660
35414,660
8219,660
7360,660
10136,660
5178,660
37083,660
37070,660
11116,660
33952,660
5902,660
33977,660
10606,660
31332,660
11116,660
11539,660
32457,660
27478,660
26253,660
25788,660
29971,660
34878,660
34873,660
22985,660
25526,660
6641,660
30375,660
24659,660
31882,660
639,660
35765,660
10270,660
27758,660
6102,660
6102,660
12389,660
22096,660
9881,660
13432,660
37442,660
11111,660
26415,660
26415,660
30866,660
11923,660
8750,660
2981,660
35676,660
18506,660
7661,660
9660,660
36851,660
24399,660
22278,660
20614,660
16554,660
34251,660
34251,660
36838,660
15216,660
9117,660
13020,660
6271,660
34683,660
26835,660
11860,660
11860,660
15109,660
15109,660
31152,660
20527,660
36826,660
15679,660
3843,660
36973,660
9533,660
17403,660
18941,660
3506,660
3506,660
18256,660
17859,660
30008,660
26489,660
24295,660
22243,660
32153,660
32153,660
28452,660
16112,660
36178,660
11326,660
21517,660
36378,660
4514,660
1869,660
30699,660
12864,660
12726,499
30750,499
16550,499
10566,499
32056,499
2466,499
26411,499
17462,499
23939,499
8156,499
8156,499
7996,499
20022,499
16496,499
32444,499
11193,499
6930,499
6305,499
1784,499
32051,499
36899,499
36072,499
33821,499
25127,499
1753,499
10102,499
29608,499
6487,499
26788,499
1314,499
13449,499
4655,499
10553,499
7056,499
3318,499
36868,499
17344,499
705,499
29383,499
14890,499
18670,499
23204,499
22158,499
18198,499
12595,499
28116,499
20907,499
18500,499
4672,499
5825,499
3318,499
2924,499
16990,499
32242,499
33692,499
24095,499
24095,499
25490,499
22332,499
14946,499
8373,499
30041,499
24095,499
16493,499
32980,499
24095,499
35128,499
1468,499
28193,499
11158,499
26084,499
12102,499
8447,499
18441,499
36835,499
5983,499
6034,499
11383,499
27014,499
3749,499
22000,499
20543,499
19739,499
17528,499
7666,499
34993,499
34794,499
34794,499
35844,499
17528,499
3321,499
20543,499
20960,499
7075,499
28514,499
16860,499
35510,499
27086,499
15478,499
20428,499
18148,499
36163,499
2537,499
12782,499
33234,499
17777,499
30432,499
21831,499
33878,499
4069,499
4339,499
7141,499
